Time-stamp,Pressure_cuff_signal,Force_pulse,Signal_1,Signal_2,Signal_3
0.293,0,3664,53679,45839,0
0.294,0,3696,53687,45823,0
0.295,0,3664,53671,45831,0
0.296,0,3696,53663,45831,0
0.297,0,3664,53663,45815,0
0.298,0,3664,53671,45839,0
0.299,0,3664,53671,45807,0
0.3,0,3664,53671,45831,0
0.301,0,3664,53655,45831,0
0.302,0,3664,53663,45815,0
0.303,0,3696,53695,45839,0
0.304,0,3696,53679,45831,0
0.305,0,3664,53695,45807,0
0.306,0,3664,53663,45775,0
0.307,0,3664,53679,45815,0
0.308,0,3664,53655,45839,0
0.309,0,3696,53655,45839,0
0.31,0,3664,53663,45831,0
0.311,0,3664,53671,45847,0
0.312,0,3696,53687,45823,0
0.313,0,3696,53679,45815,0
0.314,0,3664,53663,45823,0
0.315,0,3696,53663,45815,0
0.316,0,3664,53671,45831,0
0.317,0,3664,53687,45855,2
0.318,0,3664,53671,45831,0
0.319,0,3664,53647,45847,4
0.32,0,3680,53679,45823,0
0.321,0,3632,53703,45815,0
0.322,0,3664,53695,45815,0
0.323,0,3664,53671,45815,1
0.324,0,3664,53679,45847,3
0.325,0,3664,53679,45831,5
0.326,0,3648,53679,45839,0
0.327,0,3664,53671,45807,0
0.328,0,3664,53679,45839,0
0.329,0,3664,53647,45839,0
0.33,0,3648,53671,45831,0
0.331,0,3696,53663,45815,0
0.332,0,3680,53671,45847,0
0.333,0,3680,53679,45831,0
0.334,0,3664,53663,45839,0
0.335,0,3664,53703,45807,0
0.336,0,3664,53671,45815,0
0.337,0,3664,53679,45831,0
0.338,0,3696,53671,45815,0
0.339,0,3696,53671,45823,0
0.34,0,3664,53663,45847,0
0.341,0,3648,53655,45823,0
0.342,0,3664,53679,45815,0
0.343,0,3664,53671,45831,0
0.344,0,3664,53703,45815,0
0.345,0,3696,53687,45831,0
0.346,0,3680,53695,45815,0
0.347,0,3680,53679,45823,0
0.348,0,3664,53679,45807,0
0.349,0,3680,53655,45799,0
0.35,0,3664,53679,45815,0
0.351,0,3648,53671,45807,0
0.352,0,3696,53679,45831,0
0.353,0,3664,53679,45815,0
0.354,0,3664,53703,45823,0
0.355,0,3696,53687,45839,5
0.356,0,3680,53663,45815,0
0.357,0,3648,53671,45815,0
0.358,0,3664,53663,45799,0
0.359,0,3664,53671,45807,0
0.36,0,3664,53671,45831,0
0.361,0,3664,53663,45823,0
0.362,0,3664,53655,45823,0
0.363,0,3664,53687,45823,5
0.364,0,3696,53663,45815,0
0.365,0,3680,53639,45815,0
0.366,0,3648,53663,45847,0
0.367,0,3680,53671,45839,0
0.368,0,3664,53655,45807,4
0.369,0,3664,53679,45807,0
0.37,0,3680,53671,45799,0
0.371,0,3664,53671,45831,0
0.372,0,3680,53663,45815,0
0.373,0,3696,53663,45815,0
0.374,0,3664,53679,45831,2
0.375,0,3680,53655,45823,0
0.376,0,3648,53655,45791,0
0.377,0,3664,53647,45807,0
0.378,0,3664,53647,45799,0
0.379,0,3696,53647,45823,0
0.38,0,3664,53687,45815,0
0.381,0,3664,53663,45815,0
0.382,0,3632,53671,45815,5
0.383,0,3664,53671,45807,0
0.384,0,3664,53671,45831,0
0.385,0,3648,53663,45823,0
0.386,0,3648,53671,45799,0
0.387,0,3696,53695,45799,0
0.388,0,3664,53655,45799,0
0.389,0,3664,53671,45799,0
0.39,0,3664,53671,45807,0
0.391,0,3664,53655,45783,0
0.392,0,3664,53663,45831,0
0.393,0,3664,53671,45815,0
0.394,0,3664,53655,45807,5
0.395,0,3664,53655,45807,0
0.396,0,3680,53655,45815,0
0.397,0,3664,53671,45791,0
0.398,0,3664,53647,45799,0
0.399,0,3648,53679,45807,0
0.4,0,3664,53679,45791,0
0.401,0,3664,53655,45791,0
0.402,0,3680,53679,45815,0
0.403,0,3664,53655,45799,0
0.404,0,3664,53639,45791,1
0.405,0,3664,53671,45807,0
0.406,0,3648,53671,45791,0
0.407,0,3680,53639,45799,0
0.408,0,3664,53663,45807,0
0.409,0,3664,53639,45839,0
0.41,0,3680,53647,45783,0
0.411,0,3664,53663,45831,0
0.412,0,3664,53663,45823,0
0.413,0,3664,53631,45799,0
0.414,0,3664,53663,45799,0
0.415,0,3680,53671,45799,3
0.416,0,3696,53679,45767,0
0.417,0,3664,53679,45807,0
0.418,0,3664,53639,45791,0
0.419,0,3664,53655,45799,0
0.42,0,3664,53639,45791,0
0.421,0,3664,53671,45783,1
0.422,0,3664,53663,45791,0
0.423,0,3664,53671,45759,0
0.424,0,3664,53655,45791,0
0.425,0,3664,53623,45783,0
0.426,0,3664,53647,45775,0
0.427,0,3664,53655,45799,0
0.428,0,3664,53647,45799,0
0.429,0,3664,53647,45807,0
0.43,0,3664,53655,45791,0
0.431,0,3696,53679,45815,0
0.432,0,3664,53663,45815,0
0.433,0,3696,53639,45799,0
0.434,0,3664,53655,45783,0
0.435,0,3648,53655,45807,3
0.436,0,3664,53679,45791,0
0.437,0,3664,53655,45759,0
0.438,0,3664,53671,45807,0
0.439,0,3648,53663,45807,0
0.44,0,3696,53655,45823,0
0.441,0,3648,53663,45799,0
0.442,0,3664,53671,45791,0
0.443,0,3664,53671,45815,0
0.444,0,3664,53671,45799,0
0.445,0,3664,53663,45783,0
0.446,0,3664,53639,45799,0
0.447,0,3696,53655,45799,0
0.448,0,3664,53655,45799,0
0.449,0,3648,53671,45799,0
0.45,0,3696,53631,45791,0
0.451,0,3648,53663,45799,2
0.452,0,3632,53647,45807,0
0.453,0,3664,53655,45783,0
0.454,0,3696,53647,45775,0
0.455,0,3664,53655,45799,0
0.456,0,3664,53671,45799,0
0.457,0,3664,53631,45775,0
0.458,0,3648,53655,45815,0
0.459,0,3664,53647,45783,2
0.46,0,3696,53671,45791,0
0.461,0,3664,53679,45791,0
0.462,0,3680,53655,45799,0
0.463,0,3664,53671,45791,0
0.464,0,3664,53647,45775,1
0.465,0,3648,53679,45799,0
0.466,0,3664,53647,45759,0
0.467,0,3664,53671,45775,0
0.468,0,3664,53671,45775,0
0.469,0,3680,53623,45775,0
0.47,0,3664,53631,45751,0
0.471,0,3664,53647,45799,0
0.472,0,3664,53663,45783,0
0.473,0,3664,53663,45775,0
0.474,0,3680,53655,45783,0
0.475,0,3648,53655,45767,0
0.476,0,3664,53655,45799,0
0.477,0,3648,53647,45799,0
0.478,0,3664,53631,45775,0
0.479,0,3696,53647,45799,0
0.48,0,3696,53663,45783,0
0.481,0,3680,53655,45775,0
0.482,0,3664,53663,45799,0
0.483,0,3680,53647,45775,0
0.484,0,3664,53647,45775,0
0.485,0,3664,53647,45775,0
0.486,0,3680,53663,45775,0
0.487,0,3664,53655,45775,0
0.488,0,3648,53647,45775,0
0.489,0,3664,53639,45783,0
0.49,0,3664,53655,45807,0
0.491,0,3696,53655,45791,0
0.492,0,3648,53639,45783,0
0.493,0,3664,53671,45791,0
0.494,0,3648,53663,45775,0
0.495,0,3664,53663,45791,0
0.496,0,3664,53647,45783,0
0.497,0,3680,53647,45775,0
0.498,0,3696,53647,45759,0
0.499,0,3680,53647,45783,0
0.5,0,3664,53647,45791,0
0.501,0,3664,53631,45751,0
0.502,0,3680,53631,45767,0
0.503,0,3664,53655,45783,0
0.504,0,3664,53647,45775,0
0.505,0,3632,53631,45791,0
0.506,0,3648,53647,45775,0
0.507,0,3648,53671,45799,0
0.508,0,3664,53663,45775,1
0.509,0,3664,53671,45791,0
0.51,0,3696,53655,45791,0
0.511,0,3664,53655,45799,0
0.512,0,3664,53679,45799,0
0.513,0,3664,53647,45775,0
0.514,0,3632,53639,45791,0
0.515,0,3664,53663,45791,0
0.516,0,3664,53631,45791,0
0.517,0,3696,53663,45791,0
0.518,0,3664,53639,45783,0
0.519,0,3664,53631,45783,0
0.52,0,3680,53671,45783,0
0.521,0,3664,53655,45799,0
0.522,0,3680,53655,45791,0
0.523,0,3664,53639,45783,0
0.524,0,3664,53663,45767,0
0.525,0,3664,53663,45767,0
0.526,0,3664,53631,45783,0
0.527,0,3664,53671,45775,0
0.528,0,3680,53647,45783,0
0.529,0,3664,53623,45775,0
0.53,0,3696,53639,45783,4
0.531,0,3664,53647,45807,0
0.532,0,3696,53679,45783,0
0.533,0,3664,53655,45791,0
0.534,0,3648,53639,45799,0
0.535,0,3680,53647,45775,0
0.536,0,3664,53655,45799,0
0.537,0,3664,53647,45783,0
0.538,0,3664,53639,45783,0
0.539,0,3664,53655,45783,0
0.54,0,3664,53655,45775,0
0.541,0,3680,53639,45791,0
0.542,0,3664,53671,45791,0
0.543,0,3664,53647,45783,3
0.544,0,3664,53631,45783,0
0.545,0,3696,53655,45767,3
0.546,0,3664,53639,45783,0
0.547,0,3664,53639,45775,0
0.548,0,3664,53639,45791,0
0.549,0,3648,53671,45775,0
0.55,0,3664,53671,45799,0
0.551,0,3648,53647,45767,0
0.552,0,3648,53663,45783,0
0.553,0,3664,53647,45775,0
0.554,0,3664,53663,45791,0
0.555,0,3696,53639,45767,0
0.556,0,3680,53655,45807,0
0.557,0,3664,53671,45767,0
0.558,0,3648,53647,45775,0
0.559,0,3664,53663,45775,0
0.56,0,3648,53663,45791,0
0.561,0,3664,53663,45807,8
0.562,0,3680,53655,45799,0
0.563,0,3696,53639,45783,4
0.564,0,3680,53655,45767,0
0.565,0,3648,53671,45783,0
0.566,0,3696,53655,45791,2
0.567,0,3664,53671,45783,0
0.568,0,3680,53639,45783,0
0.569,0,3664,53647,45799,0
0.57,0,3664,53647,45791,0
0.571,0,3664,53671,45783,13
0.572,0,3664,53631,45791,0
0.573,0,3664,53639,45759,0
0.574,0,3664,53655,45791,0
0.575,0,3664,53671,45775,0
0.576,0,3648,53639,45767,0
0.577,0,3664,53671,45775,0
0.578,0,3664,53631,45775,0
0.579,0,3664,53639,45783,0
0.58,0,3664,53647,45791,3
0.581,0,3664,53655,45759,0
0.582,0,3664,53655,45775,0
0.583,0,3664,53655,45791,1
0.584,0,3664,53639,45775,0
0.585,0,3664,53639,45783,0
0.586,0,3664,53639,45791,0
0.587,0,3664,53655,45767,0
0.588,0,3680,53655,45783,0
0.589,0,3664,53647,45783,0
0.59,0,3664,53647,45783,10
0.591,0,3664,53655,45775,0
0.592,0,3648,53647,45759,0
0.593,0,3664,53663,45799,0
0.594,0,3664,53655,45783,0
0.595,0,3680,53647,45775,7
0.596,0,3696,53655,45775,0
0.597,0,3664,53631,45775,0
0.598,0,3664,53639,45791,0
0.599,0,3664,53623,45751,0
0.6,0,3680,53655,45759,0
0.601,0,3664,53663,45783,0
0.602,0,3664,53639,45791,0
0.603,0,3664,53663,45775,0
0.604,0,3680,53647,45791,0
0.605,0,3664,53639,45783,0
0.606,0,3680,53631,45767,0
0.607,0,3648,53639,45799,0
0.608,0,3664,53663,45807,0
0.609,0,3680,53647,45767,0
0.61,0,3664,53655,45799,0
0.611,0,3664,53679,45775,0
0.612,0,3664,53647,45751,0
0.613,0,3664,53663,45807,0
0.614,0,3664,53639,45783,0
0.615,0,3680,53655,45783,0
0.616,0,3648,53655,45767,0
0.617,0,3664,53647,45775,0
0.618,0,3664,53647,45775,0
0.619,0,3664,53655,45775,0
0.62,0,3664,53639,45767,0
0.621,0,3696,53655,45759,0
0.622,0,3664,53647,45775,0
0.623,0,3664,53647,45775,0
0.624,0,3664,53647,45783,0
0.625,0,3664,53655,45783,2
0.626,0,3664,53655,45791,0
0.627,0,3664,53655,45799,0
0.628,0,3664,53647,45775,0
0.629,0,3664,53631,45783,0
0.63,0,3664,53631,45767,0
0.631,0,3664,53631,45783,0
0.632,0,3664,53647,45775,0
0.633,0,3680,53639,45783,0
0.634,0,3680,53647,45759,0
0.635,0,3696,53647,45791,0
0.636,0,3664,53655,45775,0
0.637,0,3664,53639,45783,0
0.638,0,3664,53639,45783,0
0.639,0,3664,53663,45775,0
0.64,0,3680,53655,45783,0
0.641,0,3664,53655,45783,0
0.642,0,3680,53631,45751,0
0.643,0,3696,53671,45759,0
0.644,0,3664,53655,45799,0
0.645,0,3632,53655,45783,0
0.646,0,3664,53631,45783,0
0.647,0,3664,53671,45791,0
0.648,0,3664,53647,45767,0
0.649,0,3664,53655,45775,0
0.65,0,3664,53663,45783,0
0.651,0,3664,53639,45783,0
0.652,0,3664,53663,45775,0
0.653,0,3664,53647,45791,0
0.654,0,3664,53647,45759,2
0.655,0,3664,53679,45783,0
0.656,0,3664,53655,45775,0
0.657,0,3664,53647,45791,0
0.658,0,3664,53671,45783,0
0.659,0,3680,53647,45767,0
0.66,0,3680,53655,45759,0
0.661,0,3664,53655,45783,0
0.662,0,3664,53647,45799,0
0.663,0,3664,53647,45775,0
0.664,0,3664,53671,45767,0
0.665,0,3632,53655,45791,0
0.666,0,3696,53639,45767,0
0.667,0,3696,53647,45767,0
0.668,0,3632,53647,45799,0
0.669,0,3664,53647,45767,0
0.67,0,3664,53663,45775,0
0.671,0,3664,53647,45759,0
0.672,0,3664,53655,45751,0
0.673,0,3664,53631,45775,0
0.674,0,3680,53671,45767,0
0.675,0,3664,53663,45783,1
0.676,0,3664,53639,45759,0
0.677,0,3696,53647,45759,0
0.678,0,3648,53655,45767,0
0.679,0,3664,53671,45767,0
0.68,0,3680,53655,45783,0
0.681,0,3664,53663,45775,0
0.682,0,3664,53655,45767,0
0.683,0,3680,53671,45767,0
0.684,0,3664,53647,45783,0
0.685,0,3664,53647,45775,0
0.686,0,3696,53631,45783,0
0.687,0,3664,53655,45791,0
0.688,0,3648,53663,45767,0
0.689,0,3664,53639,45767,0
0.69,0,3680,53655,45783,0
0.691,0,3664,53647,45775,0
0.692,0,3664,53671,45759,0
0.693,0,3664,53679,45775,0
0.694,0,3664,53687,45775,0
0.695,0,3664,53663,45767,1
0.696,0,3696,53663,45775,0
0.697,0,3648,53639,45743,0
0.698,0,3696,53663,45767,0
0.699,0,3664,53639,45775,0
0.7,0,3664,53639,45767,0
0.701,0,3664,53655,45783,0
0.702,0,3696,53671,45775,0
0.703,0,3664,53663,45759,0
0.704,0,3680,53655,45767,0
0.705,0,3664,53663,45751,0
0.706,0,3696,53663,45743,0
0.707,0,3680,53655,45775,0
0.708,0,3664,53655,45751,0
0.709,0,3664,53663,45751,0
0.71,0,3664,53655,45759,0
0.711,0,3664,53655,45775,0
0.712,0,3664,53655,45783,0
0.713,0,3696,53655,45767,0
0.714,0,3680,53671,45775,0
0.715,0,3664,53671,45775,0
0.716,0,3664,53647,45775,0
0.717,0,3680,53679,45759,0
0.718,0,3664,53655,45751,0
0.719,0,3664,53647,45743,0
0.72,0,3664,53663,45743,0
0.721,0,3664,53671,45767,0
0.722,0,3664,53647,45759,0
0.723,0,3696,53671,45767,0
0.724,0,3664,53663,45783,0
0.725,0,3664,53679,45767,1
0.726,0,3696,53671,45783,1
0.727,0,3680,53639,45783,0
0.728,0,3664,53655,45767,1
0.729,0,3664,53631,45751,0
0.73,0,3664,53663,45759,0
0.731,0,3680,53623,45783,3
0.732,0,3664,53671,45783,0
0.733,0,3664,53663,45791,1
0.734,0,3680,53639,45751,0
0.735,0,3664,53631,45759,0
0.736,0,3648,53671,45767,0
0.737,0,3664,53655,45767,0
0.738,0,3664,53663,45767,0
0.739,0,3664,53671,45767,0
0.74,0,3696,53655,45751,0
0.741,0,3680,53639,45775,0
0.742,0,3664,53663,45767,0
0.743,0,3696,53671,45751,0
0.744,0,3664,53671,45791,0
0.745,0,3680,53639,45775,0
0.746,0,3696,53671,45751,0
0.747,0,3664,53663,45767,0
0.748,0,3664,53671,45767,0
0.749,0,3664,53663,45767,4
0.75,0,3680,53655,45751,0
0.751,0,3664,53647,45783,1
0.752,0,3664,53647,45743,0
0.753,0,3680,53631,45759,0
0.754,0,3664,53647,45775,0
0.755,0,3664,53631,45743,0
0.756,0,3648,53655,45767,0
0.757,0,3664,53647,45783,0
0.758,0,3696,53655,45767,0
0.759,0,3696,53631,45759,0
0.76,0,3664,53647,45735,0
0.761,0,3664,53663,45759,4
0.762,0,3664,53655,45751,0
0.763,0,3664,53663,45751,0
0.764,0,3664,53647,45743,0
0.765,0,3648,53631,45751,0
0.766,0,3664,53663,45767,0
0.767,0,3664,53655,45751,0
0.768,0,3680,53663,45751,0
0.769,0,3664,53647,45751,0
0.77,0,3664,53655,45759,0
0.771,0,3664,53647,45767,5
0.772,0,3664,53663,45759,0
0.773,0,3664,53639,45775,0
0.774,0,3680,53647,45735,0
0.775,0,3680,53615,45743,5
0.776,0,3696,53623,45759,0
0.777,0,3664,53655,45767,0
0.778,0,3664,53647,45743,0
0.779,0,3696,53655,45751,0
0.78,0,3664,53671,45751,0
0.781,0,3664,53655,45767,3
0.782,0,3696,53639,45759,0
0.783,0,3696,53647,45743,0
0.784,0,3664,53663,45759,0
0.785,0,3696,53639,45743,0
0.786,0,3664,53655,45767,0
0.787,0,3680,53647,45759,0
0.788,0,3680,53647,45767,1
0.789,0,3664,53647,45767,0
0.79,0,3664,53631,45767,0
0.791,0,3664,53631,45799,0
0.792,0,3664,53631,45751,0
0.793,0,3664,53647,45767,0
0.794,0,3664,53647,45767,0
0.795,0,3664,53639,45751,0
0.796,0,3664,53639,45767,0
0.797,0,3664,53647,45759,0
0.798,0,3664,53647,45743,0
0.799,0,3680,53639,45783,0
0.8,0,3696,53655,45743,0
0.801,0,3696,53647,45783,0
0.802,0,3664,53639,45767,0
0.803,0,3664,53639,45783,0
0.804,0,3664,53663,45775,1
0.805,0,3664,53639,45799,0
0.806,0,3664,53647,45791,0
0.807,0,3696,53655,45775,0
0.808,0,3664,53663,45767,0
0.809,0,3664,53639,45783,0
0.81,0,3696,53663,45767,0
0.811,0,3664,53655,45799,0
0.812,0,3664,53655,45807,0
0.813,0,3664,53663,45783,0
0.814,0,3648,53647,45807,0
0.815,0,3664,53655,45783,0
