window_number,sample_index,amplitude
4,49,181.3700172454362
4,50,183.26567047842622
4,51,181.78424283205013
4,52,177.68741442732403
4,53,171.5115960907545
4,54,163.57515595228836
4,55,154.04485086554504
4,56,143.0291662085361
4,57,130.6691033193925
4,58,117.20337025274708
4,59,102.98573134234579
4,60,88.44529301507076
4,61,74.01199318345107
4,62,60.050620565832475
4,63,46.83028304877549
4,64,34.51996330607971
4,65,23.187491650271973
4,66,12.797944940481209
4,67,3.2257528621564755
4,68,-5.708805364397926
4,69,-14.18407646037587
4,70,-22.324933485701962
4,71,-30.183730618960595
4,72,-37.765004428039006
4,73,-45.07090733089067
4,74,-52.13141366770415
4,75,-59.00073525927772
4,76,-65.7287337965368
4,77,-72.331705124116
4,78,-78.77955261856377
4,79,-84.99667439072847
4,80,-90.86864217353079
4,81,-96.2607172790634
4,82,-101.0594882141861
4,83,-105.23034734846256
4,84,-108.86514304396215
4,85,-112.19909282429651
4,86,-115.59265878786375
4,87,-119.48292899858463
4,88,-124.30884233015738
4,89,-130.41385496513027
4,90,-137.93277941279123
4,91,-146.67304063149246
4,92,-156.0062635768087
4,93,-164.80307770030223
4,94,-171.45829234577795
4,95,-174.0415181096709
4,96,-170.57745672580197
4,97,-159.42186627980948
4,98,-139.65389273876383
4,99,-111.3760624897336
5,0,88.52903373627682
5,1,73.64595631394621
5,2,59.95063639893945
5,3,47.528910877353646
5,4,36.306040316945726
5,5,26.106033398737996
5,6,16.720586875879498
5,7,7.965751708848002
5,8,-0.29276287946922214
5,9,-8.147289163901522
5,10,-15.674754387786885
5,11,-22.96420717769306
5,12,-30.127637060585503
5,13,-37.283274169080606
5,14,-44.51883650487035
5,15,-51.856597480324325
5,16,-59.24033789101731
5,17,-66.55080337127153
5,18,-73.63965033589753
5,19,-80.36590310829575
5,20,-86.63112317677617
5,21,-92.41811743028342
5,22,-97.82376770766164
5,23,-103.06143645112456
5,24,-108.42125551838666
5,25,-114.20496443705703
5,26,-120.66424466950336
5,27,-127.96080609661055
5,28,-136.1416750673646
5,29,-145.09814449547625
5,30,-154.48207354840466
5,31,-163.59780540673495
5,32,-171.32886326790072
5,33,-176.1580721636554
5,34,-176.3104253016681
5,35,-170.01820546555302
5,36,-155.87954539960253
5,37,-133.23728578995528
5,38,-102.45991359343799
5,39,-65.01258032208449
5,40,-23.27533925048939
5,41,19.847708416471264
5,42,61.42278602046796
5,43,98.95792635282021
5,44,130.7428547100059
5,45,155.9909529262188
5,46,174.7723655078959
5,47,187.782861358212
5,48,196.0306482318238
5,49,200.53180468037877
5,50,202.08676199918264
5,51,201.17411619956852
5,52,197.95815222259165
5,53,192.3828364780552
5,54,184.32065528464435
5,55,173.7369748322205
5,56,160.81405572541698
5,57,145.9862658388007
5,58,129.8837655526056
5,59,113.22502737025079
5,60,96.70264315337039
5,61,80.88697161213484
5,62,66.15816651102489
5,63,52.677452374386625
5,64,40.40840250035689
5,65,29.181567306336987
5,66,18.774346614512954
5,67,8.977565899199236
5,68,-0.36507061920322625
5,69,-9.347975281110815
5,70,-18.021719260467084
5,71,-26.423040236422544
5,72,-34.59236337506993
5,73,-42.56535443735609
5,74,-50.352374165214414
5,75,-57.93232740920293
5,76,-65.26964019444884
5,77,-72.33721407534256
5,78,-79.12330900087403
5,79,-85.61978426112053
5,80,-91.81023213721545
5,81,-97.67601631872563
5,82,-103.22172040541872
5,83,-108.5100540513166
5,84,-113.69287002072966
5,85,-119.02072954684502
5,86,-124.81100476329826
5,87,-131.36939331595127
5,88,-138.88672648999864
5,89,-147.33578767470627
5,90,-156.3703977690271
5,91,-165.23044654838634
5,92,-172.69157607119124
5,93,-177.11695098397385
5,94,-176.64478070036054
5,95,-169.50159956130312
5,96,-154.38622956715594
5,97,-130.82467677585484
5,98,-99.37701543998263
5,99,-61.620630425057136
6,0,115.75840493999053
6,1,100.11307317393681
6,2,85.06169030200738
6,3,70.82684989586475
6,4,57.485817069760934
6,5,45.0120309250593
6,6,33.30636617837647
6,7,22.222248146998528
6,8,11.598710951098298
6,9,1.2990196006092505
6,10,-8.757391425646551
6,11,-18.574949683227665
6,12,-28.08196047319519
6,13,-37.162345099385774
6,14,-45.71043044764555
6,15,-53.678699161095096
6,16,-61.09583439697145
6,17,-68.05459357969572
6,18,-74.68103106234484
6,19,-81.09800176527646
6,20,-87.39672899148778
6,21,-93.62812214279118
6,22,-99.8162430751975
6,23,-105.98752809041802
6,24,-112.2061903597609
6,25,-118.60312626390689
6,26,-125.38076004494954
6,27,-132.77856470950917
6,28,-140.99688617454868
6,29,-150.08796930489302
6,30,-159.8297850226319
6,31,-169.6114887063657
6,32,-178.37218247345965
6,33,-184.63271310091406
6,34,-186.64608093312532
6,35,-182.6651143734343
6,36,-171.28544997604394
6,37,-151.7838147835269
6,38,-124.35408041137966
6,39,-90.16236366868715
6,40,-51.19835338807899
6,41,-9.96166670157112
6,42,30.935938089118128
