window_number,sample_index,amplitude
1,90,-50.13847794717502
1,91,-49.19896928570812
1,92,-46.01923438329844
1,93,-40.39179089552945
1,94,-32.34832385031669
1,95,-22.197805379426388
1,96,-10.510447868195243
1,97,1.9534769656721052
1,98,14.355458512256346
1,99,25.903813947991548
2,0,37.9414848524035
2,1,33.167304735386736
2,2,28.075477836860912
2,3,22.983305376603585
2,4,18.209855155400195
2,5,13.987064538822805
2,6,10.409581136615277
2,7,7.439002191045216
2,8,4.94894267517843
2,9,2.785387583078004
2,10,0.8241536965857074
2,11,-0.9868491178274519
2,12,-2.6168569099629306
2,13,-3.9843334784123092
2,14,-5.01652477021662
2,15,-5.701182826468182
2,16,-6.108880018236269
2,17,-6.3849642720412305
2,18,-6.714092172514681
2,19,-7.268143656579351
2,20,-8.161936955325535
2,21,-9.434975203916848
2,22,-11.058123556562958
2,23,-12.957510324732672
2,24,-15.052785399298294
2,25,-17.303191941202286
2,26,-19.740407288876156
2,27,-22.463482203403153
2,28,-25.589996095808367
2,29,-29.18312783545963
2,30,-33.18575421950415
2,31,-37.38356476723117
2,32,-41.400905897156825
2,33,-44.72181402232008
2,34,-46.73115467864846
2,35,-46.78397321459596
2,36,-44.31853821919764
2,37,-39.006172039822275
2,38,-30.886498379475505
2,39,-20.41856045174289
2,40,-8.413917154124318
2,41,4.126077210830329
2,42,16.214208142288985
2,43,27.061519895287116
2,44,36.18807704282574
2,45,43.43320018546974
2,46,48.87944983132983
2,47,52.737162306636804
2,48,55.24051065353119
2,49,56.58209627618186
2,50,56.88531763215316
2,51,56.206962206244704
2,52,54.56582379329757
2,53,51.98658216220718
2,54,48.53917784450201
2,55,44.35586667789493
2,56,39.621371909223065
2,57,34.54676905714165
2,58,29.34195401144122
2,59,24.194837421252824
2,60,19.260294152611436
2,61,14.661525335246196
2,62,10.501457569108373
2,63,6.870334718177488
2,64,3.83491290615866
2,65,1.4140148979078033
2,66,-0.4377675195658203
2,67,-1.823403249713102
2,68,-2.8789079727514273
2,69,-3.7464220392952523
2,70,-4.555561814339196
2,71,-5.414464803062225
2,72,-6.4065724894133655
2,73,-7.588298246565307
2,74,-8.985478757321467
2,75,-10.590011302614128
2,76,-12.359463321074815
2,77,-14.222533188949344
2,78,-16.093563756775282
2,79,-17.89911219158298
2,80,-19.612652948004236
2,81,-21.28101718566819
2,82,-23.026067827556197
2,83,-25.02098130206545
2,84,-27.45186461818778
2,85,-30.47429033112576
2,86,-34.16999670470616
2,87,-38.505011269428934
2,88,-43.28969564424673
2,89,-48.149593885856305
2,90,-52.52496440267914
2,91,-55.71322231336315
2,92,-56.95592452953415
2,93,-55.560104607108066
2,94,-51.035684209432
2,95,-43.223839262612685
2,96,-32.38162554295332
2,97,-19.183696590732385
2,98,-4.621058932059603
2,99,10.179739864673332
3,0,29.152608484443544
3,1,22.899188730898977
3,2,17.264548170236548
3,3,12.478824813729384
3,4,8.612304760592613
3,5,5.580618524357474
3,6,3.1894903613931387
3,7,1.2089194085351866
3,8,-0.5539337764262207
3,9,-2.221676843772943
3,10,-3.8636565868565635
3,11,-5.533485692971709
3,12,-7.289684029471267
3,13,-9.18657687648008
3,14,-11.246839376862503
3,15,-13.437307091379818
3,16,-15.66894902720899
3,17,-17.826906082325227
3,18,-19.815222173647737
3,19,-21.592920335707102
3,20,-23.18691913830027
3,21,-24.68181839970383
3,22,-26.19714216009829
3,23,-27.8644293869266
3,24,-29.81053969925523
3,25,-32.14692704556939
3,26,-34.96260562119685
3,27,-38.316726135019344
3,28,-42.223671380330295
3,29,-46.62726365986389
3,30,-51.37017024925259
3,31,-56.168270654278295
3,32,-60.59546506389306
3,33,-64.08203005840133
3,34,-65.93671506188441
3,35,-65.4144521537227
3,36,-61.84819901447757
3,37,-54.83042287917711
3,38,-44.384021535307795
3,39,-31.041762426678446
3,40,-15.780870813605555
3,41,0.1749889528230057
3,42,15.610627293360663
3,43,29.53821991569262
3,44,41.32179879912394
3,45,50.69756010402885
3,46,57.711184958147456
3,47,62.60658696831033
3,48,65.70443899096557
3,49,67.30365054528784
3,50,67.62444626640973
3,51,66.79437623945967
3,52,64.86730452028569
3,53,61.86399993937407
3,54,57.82363023761039
3,55,52.849473024843896
3,56,47.12863630416575
3,57,40.91767709361924
3,58,34.50622970822665
3,59,28.17992049067806
3,60,22.193976811297254
3,61,16.752588772931635
3,62,11.986894247002043
3,63,7.936714055391016
3,64,4.549306151961008
3,65,1.7038314074484038
3,66,-0.7442892937046782
3,67,-2.920217964936759
3,68,-4.907844057989325
3,69,-6.752096823422138
3,70,-8.475345382865843
3,71,-10.096102548186451
3,72,-11.64254906240694
3,73,-13.159998501950424
3,74,-14.711420471927244
3,75,-16.36689483282915
3,76,-18.185043248569247
3,77,-20.197956880876923
3,78,-22.407691421468908
3,79,-24.794172629203803
3,80,-27.32811481053308
3,81,-29.981452758090686
3,82,-32.73500798677381
3,83,-35.58978963179113
3,84,-38.5839003653809
3,85,-41.80253831904163
3,86,-45.35804465595785
3,87,-49.33048099818351
3,88,-53.68922844336112
3,89,-58.22641601268442
3,90,-62.51960291539031
3,91,-65.9347816803982
3,92,-67.6827175155313
3,93,-66.93129338960229
3,94,-62.96020433102609
3,95,-55.33376834652313
3,96,-44.05337538822232
3,97,-29.635488951367225
3,98,-13.069425855687404
3,99,4.349868813676741
4,0,45.56693014012541
4,1,38.96094943694901
4,2,31.918008728845994
4,3,24.68775748668476
4,4,17.56749928193313
4,5,10.853400071565694
4,6,4.786710100960121
4,7,-0.48102473424098485
