time,ppg
16.819,53055
16.82,53039
16.821,53039
16.822,53031
16.823,53031
16.824,53047
16.825,53015
16.826,53055
16.827,53039
16.828,53039
16.829,53039
16.83,53047
16.831,53039
16.832,53039
16.833,53047
16.834,53055
16.835,53055
16.836,53055
16.837,53063
16.838,53039
16.839,53047
16.84,53039
16.841,53079
16.842,53055
16.843,53063
16.844,53071
16.845,53063
16.846,53071
16.847,53055
16.848,53063
16.849,53055
16.85,53079
16.851,53071
16.852,53063
16.853,53079
16.854,53087
16.855,53055
16.856,53071
16.857,53087
16.858,53087
16.859,53055
16.86,53063
16.861,53079
16.862,53047
16.863,53079
16.864,53095
16.865,53071
16.866,53047
16.867,53095
16.868,53063
16.869,53095
16.87,53087
16.871,53079
16.872,53087
16.873,53079
16.874,53055
16.875,53095
16.876,53087
16.877,53079
16.878,53087
16.879,53063
16.88,53079
16.881,53079
16.882,53095
16.883,53063
16.884,53071
16.885,53095
16.886,53087
16.887,53095
16.888,53087
16.889,53103
16.89,53095
16.891,53071
16.892,53095
16.893,53103
16.894,53095
16.895,53055
16.896,53087
16.897,53071
16.898,53071
16.899,53079
16.9,53103
16.901,53079
16.902,53087
16.903,53111
16.904,53079
16.905,53111
16.906,53087
16.907,53103
16.908,53079
16.909,53079
16.91,53095
16.911,53087
16.912,53111
16.913,53079
16.914,53079
16.915,53087
16.916,53063
16.917,53095
16.918,53095
16.919,53079
16.92,53087
16.921,53103
16.922,53095
16.923,53095
16.924,53095
16.925,53087
16.926,53095
16.927,53095
16.928,53103
16.929,53071
16.93,53103
16.931,53079
16.932,53103
16.933,53079
16.934,53079
16.935,53079
16.936,53079
16.937,53095
16.938,53079
16.939,53087
16.94,53111
16.941,53079
16.942,53087
16.943,53095
16.944,53095
16.945,53095
16.946,53071
16.947,53063
16.948,53079
16.949,53095
16.95,53095
16.951,53079
16.952,53087
16.953,53103
16.954,53087
16.955,53079
16.956,53079
16.957,53087
16.958,53087
16.959,53071
16.96,53103
16.961,53079
16.962,53079
16.963,53087
16.964,53095
16.965,53079
16.966,53103
16.967,53079
16.968,53095
16.969,53095
16.97,53111
16.971,53087
16.972,53087
16.973,53071
16.974,53071
16.975,53079
16.976,53079
16.977,53079
16.978,53079
16.979,53087
16.98,53071
16.981,53055
16.982,53103
16.983,53095
16.984,53071
16.985,53063
16.986,53079
16.987,53087
16.988,53087
16.989,53087
16.99,53055
16.991,53063
16.992,53079
16.993,53063
16.994,53087
16.995,53063
16.996,53087
16.997,53055
16.998,53079
16.999,53079
17.0,53055
17.001,53063
17.002,53055
17.003,53095
17.004,53055
17.005,53071
17.006,53047
17.007,53071
17.008,53063
17.009,53055
17.01,53047
17.011,53071
17.012,53055
17.013,53071
17.014,53047
17.015,53071
17.016,53039
17.017,53079
17.018,53079
17.019,53047
17.02,53063
17.021,53063
17.022,53055
17.023,53047
17.024,53055
17.025,53071
17.026,53055
17.027,53071
17.028,53047
17.029,53055
17.03,53055
17.031,53055
17.032,53071
17.033,53071
17.034,53063
17.035,53055
17.036,53055
17.037,53039
17.038,53055
17.039,53063
17.04,53071
17.041,53055
17.042,53031
17.043,53071
17.044,53055
17.045,53055
17.046,53047
17.047,53047
17.048,53015
17.049,53055
17.05,53071
17.051,53039
17.052,53047
17.053,53055
17.054,53055
17.055,53039
17.056,53039
17.057,53055
17.058,53055
17.059,53039
17.06,53039
17.061,53039
17.062,53039
17.063,53055
17.064,53039
17.065,53055
17.066,53063
17.067,53039
17.068,53055
17.069,53023
17.07,53063
17.071,53039
17.072,53031
17.073,53047
17.074,53047
17.075,53047
17.076,53063
17.077,53039
17.078,53063
17.079,53063
17.08,53039
17.081,53039
17.082,53031
17.083,53063
17.084,53023
17.085,53031
17.086,53031
17.087,53063
17.088,53031
17.089,53047
17.09,53039
17.091,53047
17.092,53039
17.093,53031
17.094,53063
17.095,53071
17.096,53055
17.097,53047
17.098,53055
17.099,53071
17.1,53031
17.101,53039
17.102,53039
17.103,53039
17.104,53031
17.105,53063
17.106,53031
17.107,53039
17.108,53063
17.109,53047
17.11,53023
17.111,53039
17.112,53039
17.113,53023
17.114,53031
17.115,53015
17.116,53031
17.117,53031
17.118,53047
17.119,53039
17.12,53047
17.121,53039
17.122,53039
17.123,53039
17.124,53023
17.125,53023
17.126,53039
17.127,53039
17.128,53031
17.129,53047
17.13,53039
17.131,53055
17.132,53039
17.133,53023
17.134,53039
17.135,53063
17.136,53031
17.137,53023
17.138,53031
17.139,53023
17.14,53031
17.141,53031
17.142,53039
17.143,53039
17.144,53039
17.145,53031
17.146,53031
17.147,53023
17.148,52999
17.149,53047
17.15,53031
17.151,53047
17.152,53063
17.153,53015
17.154,53031
17.155,53047
17.156,53039
17.157,53039
17.158,53047
17.159,53047
17.16,53039
17.161,53039
17.162,53047
17.163,53023
17.164,53023
17.165,53023
17.166,53063
17.167,53047
17.168,53015
17.169,53031
17.17,53039
17.171,53039
17.172,53063
17.173,53055
17.174,53031
17.175,53039
17.176,53047
17.177,53031
17.178,53031
17.179,53039
17.18,53031
17.181,53039
17.182,53023
17.183,53047
17.184,53031
17.185,53039
17.186,53031
17.187,53031
17.188,53047
17.189,53039
17.19,53007
17.191,53023
17.192,53039
17.193,53031
17.194,53039
17.195,53031
17.196,53039
17.197,53039
17.198,53015
17.199,53031
17.2,53039
17.201,53023
17.202,53063
17.203,53039
17.204,53031
17.205,53039
17.206,53015
17.207,53023
17.208,53015
17.209,53039
17.21,53055
17.211,53039
17.212,53055
17.213,53039
17.214,53047
17.215,53047
17.216,53031
17.217,53031
17.218,53023
17.219,53023
17.22,53047
17.221,53055
17.222,53023
17.223,53023
17.224,53039
17.225,53023
17.226,53039
17.227,53031
17.228,53031
17.229,53023
17.23,53039
17.231,53031
17.232,53039
17.233,53007
17.234,53023
17.235,53047
17.236,53031
17.237,53015
17.238,53031
17.239,53007
17.24,53039
17.241,53031
17.242,53015
17.243,53023
17.244,52999
17.245,53023
17.246,53031
17.247,53023
17.248,53015
17.249,53023
17.25,53007
17.251,53015
17.252,53023
17.253,53039
17.254,53007
17.255,53023
17.256,53015
17.257,53031
17.258,53007
17.259,53015
17.26,52999
17.261,53007
17.262,53015
17.263,53023
17.264,53039
17.265,53023
17.266,53031
17.267,53023
17.268,53015
17.269,53031
17.27,53023
17.271,53023
17.272,53015
17.273,53015
17.274,52991
17.275,52999
17.276,53023
17.277,53007
17.278,53015
17.279,53015
17.28,53031
17.281,53031
17.282,53015
17.283,53015
17.284,52999
17.285,53015
17.286,53023
17.287,53015
17.288,53015
17.289,52999
17.29,52999
17.291,52999
17.292,53031
17.293,52999
17.294,53007
17.295,53023
17.296,53023
17.297,53007
17.298,53023
17.299,53015
17.3,53023
17.301,53039
17.302,52991
17.303,53015
17.304,53015
17.305,53023
17.306,53007
17.307,53007
17.308,53007
17.309,52991
17.31,53039
17.311,53023
17.312,53023
17.313,52999
17.314,53007
17.315,53007
17.316,52991
17.317,53007
17.318,53023
17.319,53007
17.32,53015
17.321,52999
17.322,53015
17.323,53031
17.324,53015
17.325,52991
17.326,52991
17.327,52983
17.328,53015
17.329,53023
17.33,53007
17.331,53007
17.332,53015
17.333,52999
17.334,52999
17.335,52991
17.336,53007
17.337,53023
17.338,53007
17.339,52983
17.34,52999
17.341,53007
17.342,52983
17.343,52999
17.344,52983
17.345,52991
17.346,52999
17.347,53007
17.348,52999
17.349,52999
17.35,52983
17.351,52999
17.352,52967
17.353,52999
17.354,52991
17.355,52983
17.356,53015
17.357,52991
17.358,52991
17.359,52983
17.36,52991
17.361,53007
17.362,52967
17.363,53015
17.364,52991
17.365,53007
17.366,53007
17.367,52999
17.368,53007
17.369,53015
17.37,52999
17.371,52991
17.372,52999
17.373,52999
17.374,53015
17.375,52983
17.376,53023
17.377,53007
17.378,53039
17.379,53015
17.38,53039
17.381,53007
17.382,53007
17.383,53047
17.384,52999
17.385,53031
17.386,53007
17.387,53007
17.388,53047
17.389,53039
17.39,53023
17.391,53039
17.392,53031
17.393,53031
17.394,53007
17.395,53023
17.396,53023
17.397,53047
17.398,53063
17.399,53055
17.4,53047
17.401,53031
17.402,53063
17.403,53055
17.404,53071
17.405,53039
17.406,53055
17.407,53063
17.408,53063
17.409,53039
17.41,53055
17.411,53063
17.412,53047
17.413,53063
17.414,53063
17.415,53063
17.416,53047
17.417,53071
17.418,53071
17.419,53071
17.42,53071
17.421,53063
17.422,53055
17.423,53071
17.424,53063
17.425,53087
17.426,53071
17.427,53039
17.428,53071
17.429,53063
17.43,53095
17.431,53079
17.432,53055
17.433,53079
17.434,53047
17.435,53063
17.436,53071
17.437,53047
17.438,53047
17.439,53087
17.44,53079
17.441,53095
17.442,53071
17.443,53071
17.444,53087
17.445,53055
17.446,53071
17.447,53087
17.448,53111
17.449,53071
17.45,53071
17.451,53079
17.452,53079
17.453,53071
17.454,53103
17.455,53087
17.456,53063
17.457,53071
17.458,53095
17.459,53095
17.46,53079
17.461,53063
17.462,53103
17.463,53079
17.464,53095
17.465,53063
17.466,53111
17.467,53087
17.468,53087
17.469,53095
17.47,53087
17.471,53111
17.472,53103
17.473,53079
17.474,53095
17.475,53087
17.476,53095
17.477,53087
17.478,53095
17.479,53095
17.48,53087
17.481,53119
17.482,53095
17.483,53087
17.484,53079
17.485,53087
17.486,53111
17.487,53079
17.488,53087
17.489,53055
17.49,53087
17.491,53079
17.492,53047
17.493,53087
17.494,53087
17.495,53079
17.496,53087
17.497,53087
17.498,53079
17.499,53087
17.5,53103
17.501,53095
17.502,53087
17.503,53095
17.504,53095
17.505,53087
17.506,53103
17.507,53071
17.508,53087
17.509,53087
17.51,53087
17.511,53095
17.512,53095
17.513,53111
17.514,53055
17.515,53095
17.516,53071
17.517,53079
17.518,53071
17.519,53063
17.52,53119
17.521,53079
17.522,53095
17.523,53071
17.524,53071
17.525,53095
17.526,53087
17.527,53095
17.528,53071
17.529,53071
17.53,53079
17.531,53103
17.532,53071
17.533,53071
17.534,53087
17.535,53063
17.536,53087
17.537,53079
17.538,53071
17.539,53087
17.54,53071
17.541,53071
17.542,53071
17.543,53063
17.544,53071
17.545,53103
17.546,53087
17.547,53071
17.548,53087
17.549,53055
17.55,53063
17.551,53087
17.552,53079
17.553,53087
17.554,53063
17.555,53079
17.556,53071
17.557,53087
17.558,53079
17.559,53063
17.56,53071
17.561,53079
17.562,53079
17.563,53063
17.564,53063
17.565,53071
17.566,53087
17.567,53047
17.568,53063
17.569,53055
17.57,53047
17.571,53055
17.572,53063
17.573,53071
17.574,53071
17.575,53047
17.576,53055
17.577,53071
17.578,53063
17.579,53047
17.58,53055
17.581,53063
17.582,53055
17.583,53039
17.584,53039
17.585,53055
17.586,53047
17.587,53039
17.588,53047
17.589,53055
17.59,53031
17.591,53055
17.592,53047
17.593,53031
17.594,53063
17.595,53055
