time,ppg
16.786,44375
16.787,44407
16.788,44415
16.789,44375
16.79,44375
16.791,44375
16.792,44415
16.793,44391
16.794,44367
16.795,44383
16.796,44391
16.797,44375
16.798,44383
16.799,44391
16.8,44375
16.801,44399
16.802,44375
16.803,44383
16.804,44407
16.805,44391
16.806,44399
16.807,44383
16.808,44383
16.809,44399
16.81,44399
16.811,44399
16.812,44423
16.813,44423
16.814,44423
16.815,44407
16.816,44399
16.817,44431
16.818,44415
16.819,44399
16.82,44431
16.821,44447
16.822,44439
16.823,44439
16.824,44439
16.825,44439
16.826,44415
16.827,44447
16.828,44439
16.829,44439
16.83,44431
16.831,44439
16.832,44455
16.833,44479
16.834,44463
16.835,44463
16.836,44447
16.837,44463
16.838,44455
16.839,44439
16.84,44487
16.841,44479
16.842,44463
16.843,44463
16.844,44463
16.845,44463
16.846,44479
16.847,44495
16.848,44471
16.849,44471
16.85,44471
16.851,44495
16.852,44479
16.853,44503
16.854,44495
16.855,44487
16.856,44495
16.857,44487
16.858,44487
16.859,44511
16.86,44503
16.861,44495
16.862,44527
16.863,44511
16.864,44511
16.865,44503
16.866,44543
16.867,44519
16.868,44503
16.869,44511
16.87,44503
16.871,44503
16.872,44527
16.873,44511
16.874,44511
16.875,44527
16.876,44519
16.877,44511
16.878,44543
16.879,44527
16.88,44519
16.881,44527
16.882,44527
16.883,44527
16.884,44527
16.885,44519
16.886,44527
16.887,44503
16.888,44519
16.889,44519
16.89,44527
16.891,44511
16.892,44527
16.893,44519
16.894,44535
16.895,44519
16.896,44527
16.897,44559
16.898,44527
16.899,44527
16.9,44535
16.901,44543
16.902,44535
16.903,44527
16.904,44519
16.905,44543
16.906,44535
16.907,44527
16.908,44527
16.909,44487
16.91,44511
16.911,44519
16.912,44543
16.913,44535
16.914,44535
16.915,44519
16.916,44519
16.917,44551
16.918,44527
16.919,44519
16.92,44511
16.921,44527
16.922,44495
16.923,44519
16.924,44527
16.925,44527
16.926,44551
16.927,44511
16.928,44527
16.929,44535
16.93,44527
16.931,44495
16.932,44535
16.933,44519
16.934,44535
16.935,44527
16.936,44543
16.937,44527
16.938,44535
16.939,44519
16.94,44535
16.941,44543
16.942,44535
16.943,44551
16.944,44527
16.945,44551
16.946,44543
16.947,44543
16.948,44527
16.949,44535
16.95,44527
16.951,44543
16.952,44519
16.953,44519
16.954,44511
16.955,44543
16.956,44511
16.957,44519
16.958,44535
16.959,44527
16.96,44527
16.961,44535
16.962,44543
16.963,44527
16.964,44543
16.965,44543
16.966,44535
16.967,44535
16.968,44527
16.969,44527
16.97,44551
16.971,44519
16.972,44535
16.973,44559
16.974,44519
16.975,44511
16.976,44511
16.977,44527
16.978,44519
16.979,44519
16.98,44511
16.981,44503
16.982,44495
16.983,44503
16.984,44495
16.985,44511
16.986,44495
16.987,44527
16.988,44495
16.989,44495
16.99,44503
16.991,44495
16.992,44527
16.993,44527
16.994,44519
16.995,44511
16.996,44495
16.997,44495
16.998,44495
16.999,44511
17.0,44495
17.001,44511
17.002,44503
17.003,44511
17.004,44495
17.005,44471
17.006,44487
17.007,44455
17.008,44503
17.009,44495
17.01,44487
17.011,44487
17.012,44479
17.013,44503
17.014,44471
17.015,44479
17.016,44487
17.017,44487
17.018,44455
17.019,44471
17.02,44471
17.021,44471
17.022,44471
17.023,44495
17.024,44471
17.025,44471
17.026,44479
17.027,44495
17.028,44495
17.029,44455
17.03,44471
17.031,44471
17.032,44455
17.033,44471
17.034,44455
17.035,44487
17.036,44471
17.037,44479
17.038,44471
17.039,44471
17.04,44471
17.041,44455
17.042,44439
17.043,44479
17.044,44471
17.045,44455
17.046,44471
17.047,44455
17.048,44463
17.049,44423
17.05,44455
17.051,44463
17.052,44431
17.053,44463
17.054,44447
17.055,44455
17.056,44431
17.057,44471
17.058,44447
17.059,44455
17.06,44447
17.061,44455
17.062,44455
17.063,44439
17.064,44423
17.065,44455
17.066,44447
17.067,44423
17.068,44455
17.069,44431
17.07,44431
17.071,44431
17.072,44439
17.073,44439
17.074,44463
17.075,44431
17.076,44431
17.077,44439
17.078,44439
17.079,44463
17.08,44431
17.081,44423
17.082,44431
17.083,44455
17.084,44447
17.085,44423
17.086,44423
17.087,44447
17.088,44439
17.089,44439
17.09,44439
17.091,44431
17.092,44447
17.093,44415
17.094,44439
17.095,44447
17.096,44415
17.097,44447
17.098,44431
17.099,44423
17.1,44423
17.101,44431
17.102,44415
17.103,44423
17.104,44431
17.105,44455
17.106,44423
17.107,44439
17.108,44439
17.109,44447
17.11,44423
17.111,44439
17.112,44463
17.113,44423
17.114,44439
17.115,44463
17.116,44431
17.117,44447
17.118,44431
17.119,44423
17.12,44431
17.121,44439
17.122,44439
17.123,44431
17.124,44447
17.125,44447
17.126,44431
17.127,44439
17.128,44431
17.129,44415
