Time-stamp,Pressure_cuff_signal,Signal_1
16.579,11168,53047
16.58,11136,53039
16.581,11184,53039
16.582,11184,53055
16.583,11152,53039
16.584,11184,53047
16.585,11200,53039
16.586,11120,53063
16.587,11152,53031
16.588,11152,53039
16.589,11152,53031
16.59,11232,53031
16.591,11168,53047
16.592,11184,53055
16.593,11152,53055
16.594,11168,53015
16.595,11152,53055
16.596,11136,53031
16.597,11168,53047
16.598,11136,53055
16.599,11168,53023
16.6,11120,53047
16.601,11152,53047
16.602,11184,53047
16.603,11152,53039
16.604,11152,53055
16.605,11184,53055
16.606,11168,53031
16.607,11184,53039
16.608,11168,53055
16.609,11184,53047
16.61,11152,53039
16.611,11152,53031
16.612,11184,53039
16.613,11184,53047
16.614,11184,53055
16.615,11184,53047
16.616,11152,53055
16.617,11184,53071
16.618,11200,53039
16.619,11152,53039
16.62,11168,53031
16.621,11152,53047
16.622,11184,53047
16.623,11184,53047
16.624,11152,53055
16.625,11152,53039
16.626,11136,53039
16.627,11152,53055
16.628,11152,53047
16.629,11168,53055
16.63,11152,53055
16.631,11200,53039
16.632,11152,53039
16.633,11152,53047
16.634,11152,53023
16.635,11152,53007
16.636,11152,53039
16.637,11184,53047
16.638,11152,53039
16.639,11184,53055
16.64,11184,53063
16.641,11184,53023
16.642,11184,53031
16.643,11152,53015
16.644,11152,53047
16.645,11152,53063
16.646,11152,53055
16.647,11136,53039
16.648,11152,53039
16.649,11136,53047
16.65,11152,53071
16.651,11152,53047
16.652,11152,53047
16.653,11120,53039
16.654,11184,53047
16.655,11152,53023
16.656,11152,53047
16.657,11152,53063
16.658,11152,53047
16.659,11152,53039
16.66,11152,53047
16.661,11184,53023
16.662,11136,53031
16.663,11184,53031
16.664,11120,53047
16.665,11184,53039
16.666,11216,53055
16.667,11152,53023
16.668,11168,53047
16.669,11152,53039
16.67,11152,53031
16.671,11152,53039
16.672,11152,53031
16.673,11120,53039
16.674,11152,53047
16.675,11152,53039
16.676,11168,53047
16.677,11136,53015
16.678,11152,53039
16.679,11152,53039
16.68,11152,53015
16.681,11152,53023
16.682,11152,53039
16.683,11120,53039
16.684,11168,53023
16.685,11152,52999
16.686,11152,53039
16.687,11136,53055
16.688,11152,53047
16.689,11136,53007
16.69,11152,53039
16.691,11152,53039
16.692,11136,53023
16.693,11168,53023
16.694,11168,53047
16.695,11120,53039
16.696,11152,53023
16.697,11152,53039
16.698,11200,53031
16.699,11152,53039
16.7,11216,53055
16.701,11184,53023
16.702,11184,52999
16.703,11136,53047
16.704,11184,53015
16.705,11152,53023
16.706,11152,53039
16.707,11136,53039
16.708,11152,53039
16.709,11184,52991
16.71,11136,53007
16.711,11184,52999
16.712,11152,53063
16.713,11232,53031
16.714,11152,53047
16.715,11168,53039
16.716,11168,52999
16.717,11184,52999
16.718,11168,53015
16.719,11184,53031
16.72,11168,53039
16.721,11184,53015
16.722,11216,53031
16.723,11184,53015
16.724,11184,53023
16.725,11168,53007
16.726,11152,52999
16.727,11168,53023
16.728,11184,53031
16.729,11216,53039
16.73,11152,53015
16.731,11184,53007
16.732,11136,53015
16.733,11184,53015
16.734,11168,53039
16.735,11152,53015
16.736,11152,53039
16.737,11152,53031
16.738,11152,53015
16.739,11200,53023
16.74,11152,53007
16.741,11152,53007
16.742,11152,53007
16.743,11152,53015
16.744,11152,53015
16.745,11152,53015
16.746,11120,53015
16.747,11136,53015
16.748,11136,53007
16.749,11184,52999
16.75,11184,53007
16.751,11152,53015
16.752,11152,53023
16.753,11152,53007
16.754,11184,53023
16.755,11152,52991
16.756,11184,53015
16.757,11136,53031
16.758,11136,52999
16.759,11152,53047
16.76,11152,53039
16.761,11184,53039
16.762,11152,53031
16.763,11184,53023
16.764,11168,53031
16.765,11184,52999
16.766,11184,53023
16.767,11152,53007
16.768,11184,53015
16.769,11152,53023
16.77,11152,52999
16.771,11184,53007
16.772,11152,53023
16.773,11152,52983
16.774,11152,53023
16.775,11136,52999
16.776,11184,52999
16.777,11184,53007
16.778,11152,53015
16.779,11184,53015
16.78,11184,53015
16.781,11184,53015
16.782,11136,53015
16.783,11168,52999
16.784,11184,53007
16.785,11184,53007
16.786,11152,53015
16.787,11216,53015
16.788,11184,52983
16.789,11168,52983
16.79,11184,53007
16.791,11136,52991
16.792,11120,53023
16.793,11152,53015
16.794,11152,53015
16.795,11152,53015
16.796,11120,52991
16.797,11152,53007
16.798,11152,53007
16.799,11184,53015
16.8,11152,53023
16.801,11152,52999
16.802,11152,53015
16.803,11184,53047
16.804,11168,53015
16.805,11184,52999
16.806,11152,52999
16.807,11152,53047
16.808,11184,53023
16.809,11168,53023
16.81,11136,53023
16.811,11184,53031
16.812,11152,53023
16.813,11152,53039
16.814,11152,53015
16.815,11152,53031
16.816,11184,53023
16.817,11184,53031
16.818,11152,53047
16.819,11152,53055
16.82,11184,53039
16.821,11136,53039
16.822,11152,53031
16.823,11152,53031
16.824,11152,53047
16.825,11152,53015
16.826,11184,53055
16.827,11152,53039
16.828,11152,53039
16.829,11184,53039
16.83,11152,53047
16.831,11168,53039
16.832,11168,53039
16.833,11152,53047
16.834,11152,53055
16.835,11152,53055
16.836,11152,53055
16.837,11184,53063
16.838,11152,53039
16.839,11152,53047
16.84,11184,53039
16.841,11168,53079
16.842,11136,53055
16.843,11184,53063
16.844,11120,53071
16.845,11184,53063
16.846,11152,53071
16.847,11184,53055
16.848,11184,53063
16.849,11184,53055
16.85,11184,53079
16.851,11184,53071
16.852,11184,53063
16.853,11152,53079
16.854,11152,53087
16.855,11184,53055
16.856,11184,53071
16.857,11184,53087
16.858,11152,53087
16.859,11184,53055
16.86,11184,53063
16.861,11136,53079
16.862,11184,53047
16.863,11168,53079
16.864,11184,53095
16.865,11184,53071
16.866,11152,53047
16.867,11152,53095
16.868,11184,53063
16.869,11168,53095
16.87,11184,53087
16.871,11184,53079
16.872,11184,53087
16.873,11168,53079
16.874,11168,53055
16.875,11184,53095
16.876,11120,53087
16.877,11136,53079
16.878,11168,53087
16.879,11168,53063
16.88,11152,53079
16.881,11184,53079
16.882,11184,53095
16.883,11184,53063
16.884,11184,53071
16.885,11136,53095
16.886,11184,53087
16.887,11152,53095
16.888,11184,53087
16.889,11168,53103
16.89,11184,53095
16.891,11152,53071
16.892,11168,53095
16.893,11216,53103
16.894,11216,53095
16.895,11216,53055
16.896,11168,53087
16.897,11184,53071
16.898,11184,53071
16.899,11152,53079
16.9,11184,53103
16.901,11216,53079
16.902,11216,53087
16.903,11184,53111
16.904,11168,53079
16.905,11168,53111
16.906,11200,53087
16.907,11216,53103
16.908,11200,53079
16.909,11216,53079
16.91,11184,53095
16.911,11200,53087
16.912,11216,53111
16.913,11184,53079
16.914,11216,53079
16.915,11184,53087
16.916,11168,53063
16.917,11184,53095
16.918,11200,53095
16.919,11200,53079
16.92,11184,53087
16.921,11184,53103
16.922,11216,53095
16.923,11216,53095
16.924,11216,53095
16.925,11184,53087
16.926,11216,53095
16.927,11216,53095
16.928,11216,53103
16.929,11184,53071
16.93,11216,53103
16.931,11216,53079
16.932,11200,53103
16.933,11216,53079
16.934,11184,53079
16.935,11248,53079
16.936,11200,53079
16.937,11216,53095
16.938,11216,53079
16.939,11216,53087
16.94,11200,53111
16.941,11200,53079
16.942,11200,53087
16.943,11200,53095
16.944,11216,53095
16.945,11216,53095
16.946,11216,53071
16.947,11216,53063
16.948,11232,53079
16.949,11248,53095
16.95,11232,53095
16.951,11216,53079
16.952,11200,53087
16.953,11248,53103
16.954,11216,53087
16.955,11184,53079
16.956,11216,53079
16.957,11216,53087
16.958,11216,53087
16.959,11200,53071
16.96,11216,53103
16.961,11216,53079
16.962,11216,53079
16.963,11200,53087
16.964,11216,53095
16.965,11216,53079
16.966,11168,53103
16.967,11184,53079
16.968,11216,53095
16.969,11184,53095
16.97,11216,53111
16.971,11184,53087
16.972,11216,53087
16.973,11248,53071
16.974,11216,53071
16.975,11216,53079
16.976,11248,53079
16.977,11216,53079
16.978,11216,53079
16.979,11216,53087
16.98,11216,53071
16.981,11216,53055
16.982,11216,53103
16.983,11184,53095
16.984,11248,53071
16.985,11152,53063
16.986,11184,53079
16.987,11232,53087
16.988,11216,53087
16.989,11216,53087
16.99,11216,53055
16.991,11216,53063
16.992,11216,53079
16.993,11248,53063
16.994,11200,53087
16.995,11216,53063
16.996,11184,53087
16.997,11248,53055
16.998,11232,53079
16.999,11216,53079
17,11184,53055
17.001,11216,53063
17.002,11232,53055
17.003,11216,53095
17.004,11200,53055
17.005,11184,53071
17.006,11216,53047
17.007,11216,53071
17.008,11216,53063
17.009,11216,53055
17.01,11184,53047
17.011,11216,53071
17.012,11232,53055
17.013,11152,53071
17.014,11200,53047
17.015,11216,53071
17.016,11216,53039
17.017,11200,53079
17.018,11216,53079
17.019,11232,53047
17.02,11200,53063
17.021,11216,53063
17.022,11216,53055
17.023,11184,53047
17.024,11248,53055
17.025,11200,53071
17.026,11248,53055
17.027,11216,53071
17.028,11216,53047
17.029,11248,53055
17.03,11216,53055
17.031,11216,53055
17.032,11216,53071
17.033,11216,53071
17.034,11216,53063
17.035,11216,53055
17.036,11216,53055
17.037,11248,53039
17.038,11248,53055
17.039,11216,53063
17.04,11216,53071
17.041,11216,53055
17.042,11200,53031
17.043,11248,53071
17.044,11216,53055
17.045,11248,53055
17.046,11216,53047
17.047,11248,53047
17.048,11200,53015
17.049,11184,53055
17.05,11216,53071
17.051,11184,53039
17.052,11200,53047
17.053,11200,53055
17.054,11216,53055
17.055,11216,53039
17.056,11184,53039
17.057,11248,53055
17.058,11216,53055
17.059,11248,53039
17.06,11216,53039
