Time-stamp,Pressure_cuff_signal,Signal_2
16.735,11152,44407
16.736,11152,44399
16.737,11152,44375
16.738,11152,44399
16.739,11200,44415
16.74,11152,44383
16.741,11152,44407
16.742,11152,44399
16.743,11152,44399
16.744,11152,44415
16.745,11152,44399
16.746,11120,44407
16.747,11136,44407
16.748,11136,44423
16.749,11184,44399
16.75,11184,44399
16.751,11152,44423
16.752,11152,44399
16.753,11152,44415
16.754,11184,44399
16.755,11152,44391
16.756,11184,44423
16.757,11136,44407
16.758,11136,44415
16.759,11152,44383
16.76,11152,44391
16.761,11184,44399
16.762,11152,44407
16.763,11184,44399
16.764,11168,44399
16.765,11184,44391
16.766,11184,44415
16.767,11152,44399
16.768,11184,44391
16.769,11152,44415
16.77,11152,44391
16.771,11184,44399
16.772,11152,44383
16.773,11152,44391
16.774,11152,44391
16.775,11136,44391
16.776,11184,44383
16.777,11184,44383
16.778,11152,44359
16.779,11184,44391
16.78,11184,44407
16.781,11184,44383
16.782,11136,44383
16.783,11168,44383
16.784,11184,44383
16.785,11184,44391
16.786,11152,44375
16.787,11216,44407
16.788,11184,44415
16.789,11168,44375
16.79,11184,44375
16.791,11136,44375
16.792,11120,44415
16.793,11152,44391
16.794,11152,44367
16.795,11152,44383
16.796,11120,44391
16.797,11152,44375
16.798,11152,44383
16.799,11184,44391
16.8,11152,44375
16.801,11152,44399
16.802,11152,44375
16.803,11184,44383
16.804,11168,44407
16.805,11184,44391
16.806,11152,44399
16.807,11152,44383
16.808,11184,44383
16.809,11168,44399
16.81,11136,44399
16.811,11184,44399
16.812,11152,44423
16.813,11152,44423
16.814,11152,44423
16.815,11152,44407
16.816,11184,44399
16.817,11184,44431
16.818,11152,44415
16.819,11152,44399
16.82,11184,44431
16.821,11136,44447
16.822,11152,44439
16.823,11152,44439
16.824,11152,44439
16.825,11152,44439
16.826,11184,44415
16.827,11152,44447
16.828,11152,44439
16.829,11184,44439
16.83,11152,44431
16.831,11168,44439
16.832,11168,44455
16.833,11152,44479
16.834,11152,44463
16.835,11152,44463
16.836,11152,44447
16.837,11184,44463
16.838,11152,44455
16.839,11152,44439
16.84,11184,44487
16.841,11168,44479
16.842,11136,44463
16.843,11184,44463
16.844,11120,44463
16.845,11184,44463
16.846,11152,44479
16.847,11184,44495
16.848,11184,44471
16.849,11184,44471
16.85,11184,44471
16.851,11184,44495
16.852,11184,44479
16.853,11152,44503
16.854,11152,44495
16.855,11184,44487
16.856,11184,44495
16.857,11184,44487
16.858,11152,44487
16.859,11184,44511
16.86,11184,44503
16.861,11136,44495
16.862,11184,44527
16.863,11168,44511
16.864,11184,44511
16.865,11184,44503
16.866,11152,44543
16.867,11152,44519
16.868,11184,44503
16.869,11168,44511
16.87,11184,44503
16.871,11184,44503
16.872,11184,44527
16.873,11168,44511
16.874,11168,44511
16.875,11184,44527
16.876,11120,44519
16.877,11136,44511
16.878,11168,44543
16.879,11168,44527
16.88,11152,44519
16.881,11184,44527
16.882,11184,44527
16.883,11184,44527
16.884,11184,44527
16.885,11136,44519
16.886,11184,44527
16.887,11152,44503
16.888,11184,44519
16.889,11168,44519
16.89,11184,44527
16.891,11152,44511
16.892,11168,44527
16.893,11216,44519
16.894,11216,44535
16.895,11216,44519
16.896,11168,44527
16.897,11184,44559
16.898,11184,44527
16.899,11152,44527
16.9,11184,44535
16.901,11216,44543
16.902,11216,44535
16.903,11184,44527
16.904,11168,44519
16.905,11168,44543
16.906,11200,44535
16.907,11216,44527
16.908,11200,44527
16.909,11216,44487
16.91,11184,44511
16.911,11200,44519
16.912,11216,44543
16.913,11184,44535
16.914,11216,44535
16.915,11184,44519
16.916,11168,44519
16.917,11184,44551
16.918,11200,44527
16.919,11200,44519
16.92,11184,44511
16.921,11184,44527
16.922,11216,44495
16.923,11216,44519
16.924,11216,44527
16.925,11184,44527
16.926,11216,44551
16.927,11216,44511
16.928,11216,44527
16.929,11184,44535
16.93,11216,44527
16.931,11216,44495
16.932,11200,44535
16.933,11216,44519
16.934,11184,44535
16.935,11248,44527
16.936,11200,44543
16.937,11216,44527
16.938,11216,44535
16.939,11216,44519
16.94,11200,44535
16.941,11200,44543
16.942,11200,44535
16.943,11200,44551
16.944,11216,44527
16.945,11216,44551
16.946,11216,44543
16.947,11216,44543
16.948,11232,44527
16.949,11248,44535
16.95,11232,44527
16.951,11216,44543
16.952,11200,44519
16.953,11248,44519
16.954,11216,44511
16.955,11184,44543
16.956,11216,44511
16.957,11216,44519
16.958,11216,44535
16.959,11200,44527
16.96,11216,44527
16.961,11216,44535
16.962,11216,44543
16.963,11200,44527
16.964,11216,44543
16.965,11216,44543
16.966,11168,44535
16.967,11184,44535
16.968,11216,44527
16.969,11184,44527
16.97,11216,44551
16.971,11184,44519
16.972,11216,44535
16.973,11248,44559
16.974,11216,44519
16.975,11216,44511
16.976,11248,44511
16.977,11216,44527
16.978,11216,44519
16.979,11216,44519
16.98,11216,44511
16.981,11216,44503
16.982,11216,44495
16.983,11184,44503
16.984,11248,44495
16.985,11152,44511
16.986,11184,44495
16.987,11232,44527
16.988,11216,44495
16.989,11216,44495
16.99,11216,44503
16.991,11216,44495
16.992,11216,44527
16.993,11248,44527
16.994,11200,44519
16.995,11216,44511
16.996,11184,44495
16.997,11248,44495
16.998,11232,44495
16.999,11216,44511
17,11184,44495
17.001,11216,44511
17.002,11232,44503
17.003,11216,44511
17.004,11200,44495
17.005,11184,44471
17.006,11216,44487
17.007,11216,44455
17.008,11216,44503
17.009,11216,44495
17.01,11184,44487
17.011,11216,44487
17.012,11232,44479
17.013,11152,44503
17.014,11200,44471
17.015,11216,44479
17.016,11216,44487
17.017,11200,44487
17.018,11216,44455
17.019,11232,44471
17.02,11200,44471
17.021,11216,44471
17.022,11216,44471
17.023,11184,44495
17.024,11248,44471
17.025,11200,44471
17.026,11248,44479
17.027,11216,44495
17.028,11216,44495
17.029,11248,44455
17.03,11216,44471
17.031,11216,44471
17.032,11216,44455
17.033,11216,44471
17.034,11216,44455
17.035,11216,44487
17.036,11216,44471
17.037,11248,44479
17.038,11248,44471
17.039,11216,44471
17.04,11216,44471
17.041,11216,44455
17.042,11200,44439
17.043,11248,44479
17.044,11216,44471
17.045,11248,44455
17.046,11216,44471
17.047,11248,44455
17.048,11200,44463
17.049,11184,44423
17.05,11216,44455
17.051,11184,44463
17.052,11200,44431
17.053,11200,44463
17.054,11216,44447
17.055,11216,44455
17.056,11184,44431
17.057,11248,44471
17.058,11216,44447
17.059,11248,44455
17.06,11216,44447
17.061,11216,44455
17.062,11232,44455
17.063,11248,44439
17.064,11344,44423
17.065,11200,44455
17.066,11248,44447
17.067,11216,44423
17.068,11184,44455
17.069,11216,44431
17.07,11248,44431
17.071,11184,44431
17.072,11216,44439
17.073,11232,44439
17.074,11216,44463
17.075,11216,44431
17.076,11216,44431
17.077,11248,44439
17.078,11216,44439
17.079,11216,44463
17.08,11184,44431
17.081,11328,44423
17.082,11200,44431
17.083,11216,44455
17.084,11216,44447
17.085,11216,44423
17.086,11216,44423
17.087,11216,44447
17.088,11200,44439
17.089,11248,44439
17.09,11216,44439
17.091,11216,44431
17.092,11216,44447
17.093,11216,44415
17.094,11216,44439
17.095,11216,44447
17.096,11184,44415
17.097,11216,44447
17.098,11216,44431
17.099,11216,44423
17.1,11200,44423
17.101,11216,44431
17.102,11248,44415
17.103,11216,44423
17.104,11216,44431
17.105,11216,44455
17.106,11184,44423
17.107,11184,44439
17.108,11216,44439
17.109,11200,44447
17.11,11216,44423
17.111,11200,44439
17.112,11184,44463
17.113,11216,44423
17.114,11232,44439
17.115,11168,44463
17.116,11200,44431
17.117,11216,44447
17.118,11216,44431
17.119,11248,44423
17.12,11248,44431
17.121,11232,44439
17.122,11216,44439
17.123,11152,44431
17.124,11216,44447
17.125,11232,44447
17.126,11216,44431
17.127,11200,44439
17.128,11216,44431
17.129,11216,44415
17.13,11216,44447
17.131,11232,44415
17.132,11216,44415
17.133,11184,44423
17.134,11216,44415
17.135,11216,44431
17.136,11216,44455
17.137,11216,44439
17.138,11216,44439
17.139,11216,44463
17.14,11216,44447
17.141,11216,44439
17.142,11248,44407
17.143,11216,44431
17.144,11216,44431
17.145,11152,44439
17.146,11216,44447
17.147,11152,44439
17.148,11216,44431
17.149,11248,44439
17.15,11184,44423
17.151,11248,44415
17.152,11216,44399
17.153,11200,44423
17.154,11216,44431
17.155,11216,44439
17.156,11216,44431
17.157,11216,44423
17.158,11216,44407
17.159,11200,44431
17.16,11248,44439
17.161,11216,44423
17.162,11200,44423
17.163,11216,44407
17.164,11216,44431
17.165,11232,44423
17.166,11232,44455
17.167,11200,44439
17.168,11216,44431
17.169,11216,44423
17.17,11216,44423
17.171,11216,44431
17.172,11248,44439
17.173,11248,44423
17.174,11200,44431
17.175,11248,44439
17.176,11216,44431
17.177,11200,44423
17.178,11216,44415
17.179,11216,44415
17.18,11216,44415
17.181,11168,44407
17.182,11248,44407
17.183,11248,44423
17.184,11216,44423
17.185,11184,44391
17.186,11216,44431
17.187,11216,44447
17.188,11216,44391
17.189,11216,44439
17.19,11184,44431
17.191,11200,44447
17.192,11248,44415
17.193,11216,44423
17.194,11248,44431
17.195,11232,44415
17.196,11200,44399
17.197,11248,44399
17.198,11184,44399
17.199,11216,44415
17.2,11216,44423
17.201,11232,44423
17.202,11200,44431
17.203,11232,44423
17.204,11248,44391
17.205,11184,44423
17.206,11216,44407
17.207,11184,44415
17.208,11184,44399
17.209,11232,44407
17.21,11248,44423
17.211,11328,44407
17.212,11248,44375
17.213,11248,44383
17.214,11200,44423
17.215,11216,44431
17.216,11248,44423
17.217,11216,44439
17.218,11216,44415
17.219,11200,44423
17.22,11216,44407
17.221,11200,44423
17.222,11200,44383
17.223,11216,44407
17.224,11216,44431
17.225,11200,44431
17.226,11200,44407
17.227,11200,44431
17.228,11248,44415
17.229,11184,44415
17.23,11248,44391
17.231,11216,44439
17.232,11216,44431
17.233,11216,44423
17.234,11216,44407
17.235,11232,44415
17.236,11216,44407
17.237,11248,44383
17.238,11216,44407
17.239,11216,44415
17.24,11232,44383
17.241,11184,44399
17.242,11248,44415
17.243,11184,44407
17.244,11248,44407
17.245,11216,44391
17.246,11216,44399
17.247,11216,44383
17.248,11216,44383
17.249,11248,44399
17.25,11216,44391
17.251,11216,44399
17.252,11216,44399
17.253,11216,44391
17.254,11232,44383
17.255,11216,44407
17.256,11248,44415
17.257,11216,44391
17.258,11216,44407
17.259,11216,44407
17.26,11248,44415
17.261,11216,44391
17.262,11248,44391
17.263,11216,44391
17.264,11248,44391
17.265,11200,44407
17.266,11216,44399
17.267,11216,44399
17.268,11200,44399
17.269,11216,44383
17.27,11216,44383
17.271,11200,44399
17.272,11216,44383
17.273,11248,44383
17.274,11184,44407
17.275,11232,44415
17.276,11200,44391
17.277,11216,44367
17.278,11216,44375
17.279,11184,44383
17.28,11216,44375
17.281,11184,44399
17.282,11216,44367
17.283,11200,44383
17.284,11200,44391
17.285,11200,44383
17.286,11216,44375
17.287,11216,44391
17.288,11216,44367
17.289,11232,44367
17.29,11216,44391
17.291,11216,44367
17.292,11248,44383
17.293,11216,44367
17.294,11232,44391
17.295,11248,44383
17.296,11216,44407
17.297,11216,44367
17.298,11216,44383
17.299,11216,44383
17.3,11216,44383
17.301,11216,44375
17.302,11216,44375
17.303,11216,44391
17.304,11232,44375
17.305,11216,44359
17.306,11216,44375
17.307,11184,44383
17.308,11248,44375
17.309,11248,44391
17.31,11248,44375
17.311,11184,44359
17.312,11216,44359
17.313,11216,44359
17.314,11216,44351
17.315,11248,44383
17.316,11200,44383
17.317,11216,44335
17.318,11216,44335
17.319,11200,44359
17.32,11216,44351
17.321,11248,44327
17.322,11200,44367
17.323,11232,44359
17.324,11184,44375
17.325,11248,44391
17.326,11248,44335
17.327,11216,44367
17.328,11200,44343
17.329,11248,44375
17.33,11200,44375
17.331,11248,44335
17.332,11248,44359
17.333,11232,44367
17.334,11216,44351
17.335,11184,44343
17.336,11200,44359
17.337,11216,44351
17.338,11216,44343
17.339,11232,44327
17.34,11216,44351
17.341,11248,44359
17.342,11248,44351
17.343,11216,44359
17.344,11248,44335
17.345,11232,44327
17.346,11248,44359
17.347,11248,44343
17.348,11248,44351
17.349,11200,44335
17.35,11184,44351
17.351,11216,44335
17.352,11232,44335
17.353,11232,44351
17.354,11216,44327
17.355,11216,44351
17.356,11216,44359
17.357,11200,44351
17.358,11216,44367
17.359,11216,44311
17.36,11216,44327
17.361,11200,44359
17.362,11216,44343
17.363,11184,44319
17.364,11216,44351
17.365,11248,44343
17.366,11216,44327
17.367,11216,44359
17.368,11200,44335
17.369,11248,44319
17.37,11216,44327
17.371,11216,44359
17.372,11216,44351
17.373,11216,44375
17.374,11216,44367
17.375,11248,44367
