window_number,sample_index,amplitude
2,7,-2.155466372165303
2,8,-2.916333237577643
2,9,-3.4835132099691717
2,10,-3.8727864918520014
2,11,-4.105323639178282
2,12,-4.213723865794948
2,13,-4.244104029565369
2,14,-4.250330107097134
2,15,-4.283217041750961
2,16,-4.3800710322685905
2,17,-4.55754188106521
2,18,-4.8087207318344225
2,19,-5.1066516266231075
2,20,-5.41531478425662
2,21,-5.703715131789431
2,22,-5.956146519080229
2,23,-6.174849156662606
2,24,-6.375516016535116
2,25,-6.579610757321254
2,26,-6.809590802266466
2,27,-7.089965234365622
2,28,-7.449802491953875
2,29,-7.919529759305446
2,30,-8.520658554001843
2,31,-9.25393174441444
2,32,-10.091313440817201
2,33,-10.97265626273305
2,34,-11.804817901364105
2,35,-12.462005773263767
2,36,-12.790854592164585
2,37,-12.626620771888886
2,38,-11.822424047573385
2,39,-10.285262346966668
2,40,-8.007371858417113
2,41,-5.081590989272628
2,42,-1.6947766328703293
2,43,1.8985162351665543
2,44,5.415572041737301
2,45,8.59143401149289
2,46,11.221210048147228
2,47,13.186605024536917
2,48,14.461389568632915
2,49,15.099458867982248
2,50,15.2117273176092
2,51,14.937644138186425
2,52,14.41691431605311
2,53,13.76640884540702
2,54,13.066239564396227
2,55,12.357870238353826
2,56,11.654478921844246
2,57,10.957980592805201
2,58,10.272898794356463
2,59,9.611004186672208
2,60,8.988352691788664
2,61,8.41937713358238
2,62,7.91045610469325
2,63,7.453567990537813
2,64,7.022076617819169
2,65,6.572649387351339
2,66,6.055425341250763
2,67,5.429475567998594
2,68,4.677372941088129
2,69,3.812603899424282
2,70,2.875589231219738
2,71,1.919406554545368
2,72,0.9925025344035779
2,73,0.12720205611764077
2,74,-0.6619221308604917
2,75,-1.373282851518564
2,76,-2.013337582613058
2,77,-2.5930852705814442
2,78,-3.124321757505996
2,79,-3.6163635264776426
2,80,-4.07495528439172
2,81,-4.5025442245823895
2,82,-4.89857223874989
2,83,-5.260652249966809
2,84,-5.588100370012883
2,85,-5.886449157924283
2,86,-6.16873216818463
2,87,-6.4513739325070425
2,88,-6.747963635164562
2,89,-7.06610652409592
2,90,-7.408762662965527
2,91,-7.7768482901856775
2,92,-8.169117166681932
2,93,-8.578036910324494
2,94,-8.982910143474964
2,95,-9.342532438241047
2,96,-9.590271619077068
2,97,-9.635213982585856
2,98,-9.372864524380619
2,99,-8.704888271425597
3,0,6.945698924901644
3,1,4.838751778734325
3,2,2.8113396207691173
3,3,0.9065675266221304
3,4,-0.836494351375792
3,5,-2.385934622197346
3,6,-3.720510048477413
3,7,-4.831133579935917
3,8,-5.721827372808109
3,9,-6.410888653130992
3,10,-6.930569392141732
3,11,-7.324371439205871
3,12,-7.643048987448161
