time,ppg
16.997,3046
16.998,3029
16.999,3035
17.0,3036
17.001,3043
17.002,3041
17.003,3028
17.004,3036
17.005,3043
17.006,3037
17.007,3037
17.008,3027
17.009,3042
17.01,3037
17.011,3037
17.012,3031
17.013,3037
17.014,3037
17.015,3037
17.016,3036
17.017,3031
17.018,3035
17.019,3047
17.02,3039
17.021,3041
17.022,3027
17.023,3039
17.024,3036
17.025,3035
17.026,3037
17.027,3027
17.028,3035
17.029,3037
17.03,3035
17.031,3039
17.032,3027
17.033,3038
17.034,3035
17.035,3039
17.036,3042
17.037,3031
17.038,3037
17.039,3036
17.04,3038
17.041,3043
17.042,3027
17.043,3037
17.044,3037
17.045,3037
17.046,3025
17.047,3029
17.048,3035
17.049,3035
17.05,3035
17.051,3027
17.052,3032
17.053,3035
17.054,3039
17.055,3039
17.056,3028
17.057,3035
17.058,3037
17.059,3037
17.06,3037
17.061,3022
17.062,3035
17.063,3039
17.064,3037
17.065,3037
17.066,3022
17.067,3032
17.068,3035
17.069,3031
17.07,3036
17.071,3023
17.072,3035
17.073,3031
17.074,3035
17.075,3035
17.076,3030
17.077,3035
17.078,3037
17.079,3041
17.08,3036
17.081,3027
17.082,3035
17.083,3036
17.084,3039
17.085,3029
17.086,3027
17.087,3043
17.088,3034
17.089,3035
17.09,3029
17.091,3035
17.092,3034
17.093,3037
17.094,3034
17.095,3023
17.096,3033
17.097,3037
17.098,3036
17.099,3039
17.1,3027
17.101,3036
17.102,3038
17.103,3036
17.104,3038
17.105,3027
17.106,3045
17.107,3043
17.108,3037
17.109,3035
17.11,3027
17.111,3035
17.112,3034
17.113,3039
17.114,3039
17.115,3027
17.116,3035
17.117,3037
17.118,3039
17.119,3043
17.12,3020
17.121,3038
17.122,3037
17.123,3035
17.124,3039
17.125,3027
17.126,3035
17.127,3035
17.128,3035
17.129,3037
17.13,3026
17.131,3039
17.132,3039
17.133,3038
17.134,3043
17.135,3027
17.136,3035
17.137,3039
17.138,3038
17.139,3031
17.14,3035
17.141,3041
17.142,3037
17.143,3037
17.144,3023
17.145,3037
17.146,3037
17.147,3043
17.148,3037
17.149,3033
17.15,3036
17.151,3041
17.152,3037
17.153,3041
17.154,3027
17.155,3039
17.156,3038
17.157,3038
17.158,3039
17.159,3027
17.16,3035
17.161,3035
17.162,3036
17.163,3043
17.164,3027
17.165,3041
17.166,3035
17.167,3039
17.168,3039
17.169,3029
17.17,3037
17.171,3035
17.172,3039
17.173,3032
17.174,3037
17.175,3035
17.176,3039
17.177,3064
17.178,3029
17.179,3037
17.18,3039
17.181,3037
17.182,3039
17.183,3027
17.184,3035
17.185,3039
17.186,3035
17.187,3033
17.188,3039
17.189,3039
17.19,3038
17.191,3041
17.192,3029
17.193,3030
17.194,3037
17.195,3037
17.196,3039
17.197,3025
17.198,3043
17.199,3037
17.2,3039
17.201,3043
17.202,3027
17.203,3041
17.204,3037
17.205,3037
17.206,3037
17.207,3027
17.208,3039
17.209,3035
17.21,3043
17.211,3027
17.212,3038
17.213,3039
17.214,3037
17.215,3043
17.216,3027
17.217,3037
17.218,3039
17.219,3043
17.22,3037
17.221,3017
17.222,3039
17.223,3039
17.224,3043
17.225,3037
17.226,3028
17.227,3035
17.228,3038
17.229,3037
17.23,3044
17.231,3025
17.232,3037
17.233,3039
17.234,3039
17.235,3046
17.236,3027
17.237,3039
17.238,3041
17.239,3047
17.24,3039
17.241,3031
17.242,3037
17.243,3035
17.244,3039
17.245,3035
17.246,3029
17.247,3036
17.248,3039
17.249,3036
17.25,3027
17.251,3031
17.252,3035
17.253,3039
17.254,3038
17.255,3026
17.256,3032
17.257,3036
17.258,3044
17.259,3043
17.26,3034
17.261,3031
17.262,3037
17.263,3039
17.264,3036
17.265,3030
17.266,3035
17.267,3039
17.268,3038
17.269,3038
17.27,3032
17.271,3034
17.272,3043
17.273,3036
17.274,3037
17.275,3027
17.276,3037
17.277,3037
17.278,3036
17.279,3038
17.28,3021
17.281,3064
17.282,3037
17.283,3039
17.284,3035
17.285,3028
17.286,3038
17.287,3035
17.288,3036
17.289,3031
17.29,3027
17.291,3038
17.292,3037
17.293,3037
17.294,3036
17.295,3027
17.296,3043
17.297,3035
17.298,3039
17.299,3029
17.3,3029
17.301,3036
17.302,3037
17.303,3042
17.304,3033
17.305,3043
17.306,3039
17.307,3039
17.308,3037
17.309,3023
17.31,3037
17.311,3033
17.312,3033
17.313,3037
17.314,3027
17.315,3036
17.316,3039
17.317,3035
17.318,3037
17.319,3027
17.32,3031
17.321,3032
17.322,3035
17.323,3035
17.324,3025
17.325,3035
17.326,3035
17.327,3037
17.328,3036
17.329,3027
17.33,3039
17.331,3037
17.332,3039
17.333,3028
17.334,3035
17.335,3037
17.336,3035
17.337,3035
17.338,3031
17.339,3036
17.34,3035
17.341,3035
17.342,3037
17.343,3028
17.344,3037
17.345,3039
17.346,3034
17.347,3044
17.348,3029
17.349,3035
17.35,3038
17.351,3041
17.352,3039
17.353,3028
17.354,3037
17.355,3033
17.356,3037
17.357,3033
17.358,3023
17.359,3036
